period,state,price,sales
2023-10-01,Rhode Island,31.74,218.69
2023-10-01,Pennsylvania,18.44,3534.23
2023-10-01,Nevada,14.63,887.11
2023-10-01,Nebraska,11.77,690.63
2023-10-01,Montana,12.96,365.98
2023-10-01,Missouri,12.41,2267.83
2023-10-01,Mississippi,13.67,1430.79
2023-10-01,Minnesota,15.29,1601.04
2023-10-01,Michigan,19.06,2389.05
2023-10-01,Massachusetts,28.09,1380.88
2023-10-01,Maryland,18.4,1657.87
2023-10-01,Maine,29.12,345.96
2023-10-01,Louisiana,11.92,2474.59
2023-10-01,Kentucky,12.99,1683.7
2023-10-01,Kansas,13.72,924.1
2023-10-01,Iowa,13.37,974.39
2023-10-01,Indiana,15.17,2183.09
2023-10-01,Illinois,15.88,2987.8
2023-10-01,Idaho,12.15,618.05
2023-10-01,Hawaii,42.68,239.29
2023-10-01,Georgia,13.75,4095.17
2023-10-01,U.S. Total,16.2,103767.45
2023-10-01,Pacific Noncontiguous,35.17,400.01
2023-09-01,Minnesota,15.29,1794.4
2023-09-01,Florida,15.51,13777.15
2023-09-01,District of Columbia,16.23,267.54
2023-09-01,Delaware,15.83,479.38
2023-09-01,Maine,26.85,401.1
2023-09-01,Louisiana,11.39,3608.41
2023-09-01,Kentucky,12.43,2126.26
2023-09-01,Kansas,13.46,1362.21
2023-09-01,Iowa,14.03,1158.13
2023-09-01,Connecticut,29.28,1048.76
2023-09-01,Colorado,15.03,1733.06
2023-09-01,California,29.99,7923.9
2023-09-01,Arkansas,12.67,1878.41
2023-09-01,Arizona,14.39,3878.05
2023-09-01,Alaska,24.5,144.23
2023-09-01,Alabama,14.83,3067.36
2023-09-01,Indiana,14.1,2678.83
2023-09-01,Illinois,14.84,3656.5
2023-09-01,Idaho,11.6,610.51
2023-09-01,Hawaii,41.52,226.76
2023-09-01,Georgia,14.01,5598.23
2023-09-01,South Atlantic,14.98,34660.4
2023-09-01,West North Central,14.01,8887.33
2023-09-01,East North Central,16.02,14672.92
2023-09-01,Middle Atlantic,20.15,11527.6
2023-09-01,New England,27.44,4063.08
2023-09-01,Wyoming,12.64,183.95
2023-09-01,Wisconsin,17.32,1728.5
2023-09-01,West Virginia,14.38,706.73
2023-09-01,Washington,11.38,2386.99
2023-09-01,Virginia,14.79,3579.69
2023-09-01,Maryland,16.96,2215.58
2023-09-01,Utah,11.85,906.82
2023-09-01,Texas,14.55,18808.85
2023-09-01,Tennessee,11.85,4065.46
2023-09-01,South Dakota,13.05,395.06
2023-09-01,South Carolina,14.52,2862.05
2023-09-01,Rhode Island,26.9,291.76
2023-09-01,Pennsylvania,18.02,4305.99
2023-09-01,Oregon,13.13,1282.96
2023-09-01,Oklahoma,13.25,2332.54
2023-09-01,Ohio,15.7,4060.88
2023-09-01,North Dakota,12.77,310.17
2023-09-01,North Carolina,14.09,5174.05
2023-09-01,East South Central,12.99,11352.39
2023-09-01,U.S. Total,16.29,133320.4
2023-09-01,Pacific Noncontiguous,34.91,370.99
2023-09-01,Pacific Contiguous,24.29,11593.84
2023-09-01,Mountain,14.39,9563.65
2023-09-01,West South Central,13.87,26628.21
2023-09-01,New York,23.33,4629.23
2023-09-01,New Mexico,15.25,650.93
2023-09-01,New Jersey,18.01,2592.38
2023-09-01,New Hampshire,23.31,386.74
2023-09-01,Nevada,16.94,1215.04
2023-09-01,Vermont,21.21,166.75
2023-09-01,Michigan,19.35,2548.2
2023-09-01,Massachusetts,28.07,1767.96
2023-09-01,Mississippi,13.05,2093.31
2023-09-01,Missouri,14.23,2993.31
2023-09-01,Montana,13.18,385.3
2023-09-01,Nebraska,12.4,874.04
2023-08-01,Nebraska,12.26,1042.48
2023-08-01,Middle Atlantic,19.76,13738.13
2023-08-01,New England,27.16,4671.98
2023-08-01,Wyoming,12.44,216.86
2023-08-01,Wisconsin,17.1,2205.53
2023-08-01,West Virginia,14.23,917.67
2023-08-01,Washington,11.14,2840.55
2023-08-01,Virginia,13.95,4683.15
2023-08-01,Iowa,15.06,1472.57
2023-08-01,Indiana,14.15,3282.72
2023-08-01,Illinois,13.94,4840.32
2023-08-01,Idaho,11.63,818.61
2023-08-01,Hawaii,39.17,243.7
2023-08-01,Georgia,14.14,7066.41
2023-08-01,Florida,14.93,15450.62
2023-08-01,District of Columbia,16.4,242.12
2023-08-01,Delaware,15.66,536.04
2023-08-01,Montana,12.96,481.27
2023-08-01,Missouri,14.43,3716.84
2023-08-01,Mississippi,12.9,2347.83
2023-08-01,Minnesota,15.46,2266.46
2023-08-01,Michigan,19.44,3068.82
2023-08-01,Massachusetts,27.83,2036.65
2023-08-01,Maryland,16.35,2642.55
2023-08-01,Maine,25.43,445.78
2023-08-01,Louisiana,11.04,4063.58
2023-08-01,Kentucky,12.16,2639.93
2023-08-01,Kansas,13.57,1727.79
2023-08-01,North Dakota,12.5,368.08
2023-08-01,Rhode Island,27.58,316.66
2023-08-01,Pennsylvania,17.88,5102.89
2023-08-01,Oregon,12.97,1699.09
2023-08-01,Oklahoma,13.29,2935.24
2023-08-01,Ohio,15.74,5022.78
